Chapter,Image Link,Image Credit,Image Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Overlay Transparency,County,,,,,,,,,,,
Knockalisheen,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3739_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,,Meelick,52.6957302,-8.6515719,,,,,,Clare,,,,,,,,,,,
King Thomond,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-4038_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,17,"The Bog Road, Lisdoonvarna",53.0248123,-9.2843562,,,,,,Clare,,,,,,,,,,,
Ashbourne Hse,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3346_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,17,Glounthaune,51.912486,-8.3266333,,,,,,Cork,,,,,,,,,,,
Kinsale Road,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/9093488_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,14,Cork,51.8726812,-8.4722927,,,,,,Cork,,,,,,,,,,,
Glenvera,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/5982563_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Wellington Road,51.903623,-8.46084,,,,,,Cork,,,,,,,,,,,
Millstreet,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3267_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Millstreet,52.0601555,-9.0658065,,,,,,Cork,,,,,,,,,,,
Davis Lane,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3280_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"73-75 Davis Street, Mallow, Co. Cork",52.1358706,-8.6420774,,,,,,Cork,,,,,,,,,,,
Clonakilty Lodge,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/5913843_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"Clonakilty, Co. Cork",51.6193752,-8.8895289,,,,,,Cork,,,,,,,,,,,
The Towers,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/3341202_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"The Ninth Lock, Clondalkin, D.22",53.325234,-6.394272,,,,,,Dublin,,,,,,,,,,,
Hatch Hall,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/6792696_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"28 Lower Hatch Street, Dublin 2",53.3336251,-6.256115,,,,,,Dublin,,,,,,,,,,,
Eglinton,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3892_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"The Prom, Salthill",53.2839802,-9.0575047,,,,,,Galway,,,,,,,,,,,
Great Western House,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/898345_orig.jpg?0,Asylum Archive,http://www.asylumarchive.com/,,15,Eyre Square,53.2752692,-9.0476349,,,,,,Galway,,,,,,,,,,,
Atlas House (Killarney),http://www.asylumarchive.com/uploads/1/3/7/3/13738784/427754_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Killarney,53.3251266,-6.2812167,,,,,,Kerry,,,,,,,,,,,
Atlas House (Tralee),http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3168_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Tralee,52.2693641,-9.7020692,,,,,,Kerry,,,,,,,,,,,
Johnston Marina,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/8409451_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Tralee,52.264144,-9.7170867,,,,,,Kerry,,,,,,,,,,,
Linden House,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/dsc-3180_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,"New Road, Killarney",52.0620393,-9.5158227,,,,,,Kerry,,,,,,,,,,,
Park Lodge,http://www.asylumarchive.com/uploads/1/3/7/3/13738784/8276457_orig.jpg,Asylum Archive,http://www.asylumarchive.com/,,15,Killarney,52.0460155,-9.5085348,,,,,,Kerry,,,,,,,,,,,
Hazel,,Asylum Archive,http://www.asylumarchive.com/,,15,"Dublin Road, Monasterevin",53.1359971,-7.0706256,,,,,,Kildare,,,,,,,,,,,
